Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /prompts,186,0,890,1190.9084795687538,153.9766999776475,3795.3890000353567,5776.032258064516,9.771407956398514,0.0,890,1100,1400,1800,2700,3000,3500,3600,3800,3800,3800
GET,GET /prompts/search,14,0,10000,10077.81433571446,8462.919399957173,12627.534199971706,163387.42857142858,0.7354823192988128,0.0,10000,10000,11000,11000,12000,13000,13000,13000,13000,13000,13000
POST,POST /optimize/llm,3,0,11000,10993.840533328088,7701.958400022704,14299.162299954332,653.0,0.1576033541354599,0.0,11000,11000,14000,14000,14000,14000,14000,14000,14000,14000,14000
POST,POST /prompts,49,0,830,1198.6045510227773,177.25399998016655,4347.792299988214,254.0,2.574188117545845,0.0,830,1200,1600,1900,2800,3300,4300,4300,4300,4300,4300
PUT,PUT /prompts/{project}/{name},44,0,740,998.0314409079834,68.95889999577776,3374.18240000261,181.0,2.3115158606534116,0.0,770,1200,1400,1500,2000,2300,3400,3400,3400,3400,3400
,Aggregated,296,0,900,1683.1922496616294,68.95889999577776,14299.162299954332,11432.888513513513,15.550197608032043,0.0,900,1200,1700,2100,3100,8800,11000,12000,14000,14000,14000
