Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /prompts,22,0,17000,9699.542981826446,159.59710004972294,18104.917899996508,6086.545454545455,1.1570989858486849,0.0,17000,17000,17000,18000,18000,18000,18000,18000,18000,18000,18000
POST,POST /prompts,7,0,150,7621.103471427757,89.39600002486259,17955.555900000036,254.0,0.36816785913367245,0.0,150,17000,18000,18000,18000,18000,18000,18000,18000,18000,18000
PUT,PUT /prompts/{project}/{name},6,0,230,211.29620000525998,97.24450000794604,301.23889999231324,181.0,0.315572450686005,0.0,270,270,270,270,300,300,300,300,300,300,300
,Aggregated,35,0,470,7657.298488577362,89.39600002486259,18104.917899996508,3907.657142857143,1.8408392956683624,0.0,470,17000,17000,18000,18000,18000,18000,18000,18000,18000,18000
