Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /prompts,170,0,150,191.65596176651033,57.73840000620112,430.1668000407517,4671.058823529412,8.923067851196972,0.0,150,200,280,290,320,350,400,430,430,430,430
GET,GET /prompts/search,16,0,7800,7297.848843751126,5502.014100027736,8367.167999967933,195947.875,0.8398181507008915,0.0,7900,7900,8000,8000,8300,8400,8400,8400,8400,8400,8400
POST,POST /optimize/llm,4,0,5600,6385.1477750140475,4526.286299980711,7862.153100024443,653.0,0.20995453767522287,0.0,7600,7600,7900,7900,7900,7900,7900,7900,7900,7900,7900
POST,POST /prompts,109,0,68,70.38067614471694,29.957599996123463,198.173200013116,254.0,5.7212611516498235,0.0,68,74,76,84,97,110,150,170,200,200,200
PUT,PUT /prompts/{project}/{name},108,0,68,73.41469166675341,22.89349999045953,165.3234999976121,181.0,5.668772517231018,0.0,69,79,86,89,100,110,130,160,170,170,170
,Aggregated,407,0,93,468.0294017203058,22.89349999045953,8367.167999967933,9776.63882063882,21.362874208453928,0.0,93,140,160,200,320,430,7900,7900,8400,8400,8400
