Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /prompts,170,0,900,1023.5700388243832,74.27869999082759,5411.626299959607,5691.14705882353,10.127062283537448,0.0,910,1100,1200,1600,1900,2200,3500,3800,5400,5400,5400
GET,GET /prompts/search,11,0,12000,12095.754336354068,10514.621999987867,13149.325099948328,222562.81818181818,0.6552805006994818,0.0,12000,12000,13000,13000,13000,13000,13000,13000,13000,13000,13000
POST,POST /optimize/llm,4,0,7000,8288.327374990331,3760.273899999447,12059.11529995501,653.0,0.23828381843617524,0.0,10000,10000,12000,12000,12000,12000,12000,12000,12000,12000,12000
POST,POST /prompts,45,0,740,848.9464377790379,34.84739997657016,3138.492700003553,254.0,2.6806929574069716,0.0,740,930,1200,1500,1700,1800,3100,3100,3100,3100,3100
PUT,PUT /prompts/{project}/{name},41,0,790,980.7319390309248,40.12209997745231,4249.835400027223,181.0,2.4424091389707963,0.0,790,960,1300,1400,2600,2800,4200,4200,4200,4200,4200
,Aggregated,271,0,880,1544.7458044292466,34.84739997657016,13149.325099948328,12683.206642066421,16.14372869905087,0.0,880,1100,1500,1600,2600,7000,12000,13000,13000,13000,13000
