Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /prompts,156,0,76,81.82585833315105,16.709300049114972,166.91979998722672,5816.134615384615,8.247928580816074,0.0,77,92,110,110,140,150,160,170,170,170,170
GET,GET /prompts/search,31,0,2300,2170.8760677344885,559.8475000006147,3041.813500050921,181969.38709677418,1.639011448751912,0.0,2300,2500,2700,2700,2800,2900,3000,3000,3000,3000,3000
POST,POST /optimize/llm,4,0,2700,3568.055399999139,2658.3312000148,4539.301800017711,651.0,0.2114853482260532,0.0,4400,4400,4500,4500,4500,4500,4500,4500,4500,4500,4500
POST,POST /prompts,55,0,29,31.947298178618606,16.419799998402596,101.19840002153069,254.0,2.907923538108231,0.0,29,34,35,38,43,48,97,100,100,100,100
PUT,PUT /prompts/{project}/{name},55,0,31,31.866901817689225,16.731999989133328,63.324399990960956,181.0,2.907923538108231,0.0,31,36,39,41,43,48,55,63,63,63,63
,Aggregated,301,0,55,325.0631049818412,16.419799998402596,4539.301800017711,21843.511627906977,15.914272454010502,0.0,55,84,110,120,1500,2500,2800,2900,4500,4500,4500
