Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /prompts,11,0,2000,1642.404290916271,466.0284999990836,2616.9595000101253,6820.181818181818,4.177585303614933,0.0,2000,2200,2600,2600,2600,2600,2600,2600,2600,2600,2600
POST,POST /prompts,4,0,460,489.0640250087017,399.1575000109151,562.6480000209995,254.0,1.5191219285872484,0.0,530,530,560,560,560,560,560,560,560,560,560
,Aggregated,15,0,860,1334.8468866742526,399.1575000109151,2616.9595000101253,5069.2,5.696707232202181,0.0,860,2000,2200,2600,2600,2600,2600,2600,2600,2600,2600
