Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /prompts,556,0,26,33.34649388423766,7.820200000423938,114.271100028418,6082.969424460432,19.11267016858497,0.0,26,37,44,49,61,83,99,100,110,110,110
GET,GET /prompts/search,166,0,54,71.40980903529113,5.955200002063066,247.21699999645352,12941.325301204819,5.706300805728605,0.0,55,84,110,120,170,200,220,240,250,250,250
POST,POST /optimize/llm,3,0,4500,7080.397299995336,4469.886399980169,12261.321300000418,653.0,0.10312591817581818,0.0,4500,4500,12000,12000,12000,12000,12000,12000,12000,12000,12000
POST,POST /prompts,97,0,13,16.491500003090533,6.514900014735758,102.88230003789067,254.0,3.3344046876847875,0.0,13,17,18,21,27,33,93,100,100,100,100
PUT,PUT /prompts/{project}/{name},97,0,13,14.869447423087568,6.56929996330291,37.38360002171248,181.0,3.3344046876847875,0.0,13,16,20,21,26,32,36,37,37,37,37
,Aggregated,919,0,23,59.497152012861534,5.955200002063066,12261.321300000418,6065.881392818281,31.59090626785897,0.0,23,36,46,53,81,110,180,210,12000,12000,12000
