Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /prompts,154,0,1100,1532.4819909107066,227.5415000040084,6237.889699987136,5794.435064935065,8.096857813117834,0.0,1100,1400,2000,2300,3200,4400,5000,6000,6200,6200,6200
GET,GET /prompts/search,29,0,7300,7221.768058619687,5764.072900055908,9004.215400025714,140981.3448275862,1.524732964807904,0.0,7300,7600,7700,7900,8700,9000,9000,9000,9000,9000,9000
POST,POST /prompts,53,0,910,1218.6029490593048,63.82769998162985,3965.0096999830566,254.0,2.786580935683411,0.0,910,1200,1700,2300,2800,3200,3200,4000,4000,4000,4000
PUT,PUT /prompts/{project}/{name},52,0,880,1458.0662403862405,78.55570001993328,5641.989899973851,181.0,2.7340039368969316,0.0,880,1400,2000,2100,4000,4700,4900,5600,5600,5600,5600
,Aggregated,288,0,1100,2034.1628510432201,63.82769998162985,9004.215400025714,17373.875,15.142175650506081,0.0,1100,1900,2400,2900,6000,7300,7900,8700,9000,9000,9000
